sc_gid,capacity_factor,global_horizontal_irradiance,capacity_mw,area_sq_km,latitude,longitude,distance_to_transmission_km
138,0.171929523,3.955845594,6.537600275,0.204300009,48.321,-119.34,6.540262284
139,0.156341478,3.738043308,9.875806348,0.308618948,48.506,-118.059,5.912204684
140,0.155193672,3.722593784,382.141452,11.94192037,48.529,-117.898,43.25528016
141,0.156763211,3.747263908,10.3392011,0.323100034,48.551,-117.737,5.349282623
142,0.154000029,3.684809446,72.09532354,2.25297886,48.724,-116.446,7.677874792
143,0.15543893,3.704513311,341.654393,10.67669978,48.745,-116.284,51.9272115
144,0.15383248,3.656348228,54.32832158,1.697760049,48.765,-116.122,5.274763121
145,0.151520982,3.614971161,579.2705508,18.10220471,48.886,-115.147,101.3809338
146,0.148157507,3.547231197,613.2449883,19.16390588,48.906,-114.984,138.1689413
147,0.137591898,3.333157301,46.28506113,1.44640816,47.609,-123.083,3.39986023
148,0.138343051,3.389768362,18.3317792,0.5728681,47.637,-122.927,1.483213543
149,0.141507745,3.425204515,205.1671781,6.411474316,47.664,-122.771,3.440786042
150,0.138986185,3.377518654,264.6296736,8.269677301,47.691,-122.615,3.614333915
151,0.137541637,3.379374266,22.65148784,0.707858995,47.718,-122.458,4.858031322
152,0.142858341,3.464662313,3.659328259,0.114354008,47.745,-122.302,1.085341484
153,0.129513294,3.195128679,287.5835391,8.986985596,47.772,-122.145,2.555670426
154,0.128097609,3.173254728,711.0950766,22.22172114,47.798,-121.988,3.403321748
155,0.124762647,3.092442274,423.5172961,13.2349155,47.825,-121.831,4.277955796
156,0.121212609,3.00577569,430.1372109,13.44178784,47.851,-121.674,10.70844703
157,0.173000008,4.027999878,3.744000055,0.117000002,48.129,-119.936,14.5836581
158,0.173082441,4.029556274,589.4251031,18.41953447,48.154,-119.777,13.92627504
159,0.175343499,4.035696507,506.0528789,15.81415247,48.178,-119.618,14.30542385
160,0.176555946,4.029606819,703.207575,21.97523672,48.202,-119.459,18.23864832
161,0.172347859,3.967357874,282.7975781,8.837424316,48.226,-119.3,24.03794556
162,0.161463767,3.840606689,16.39008007,0.512190002,48.388,-118.181,5.967672462
163,0.158564314,3.762089014,13.88160044,0.433800014,48.411,-118.021,8.952103075
164,0.156135395,3.737737894,89.09913779,2.784348056,48.433,-117.86,0.656900152
165,0.149000019,3.579547167,11.00160055,0.343800017,48.5,-117.378,1.07900395
166,0.149000034,3.585999727,10.98921522,0.343412976,48.522,-117.217,6.457181431
167,0.153836414,3.672269821,511.5997336,15.98749167,48.628,-116.411,51.65400461
168,0.155444652,3.70546627,584.7764625,18.27426445,48.649,-116.249,47.12012308
169,0.150794342,3.593142509,206.8021441,6.462567004,48.67,-116.087,27.11956035
170,0.147276655,3.511655331,502.9249184,15.7164037,48.81,-114.951,133.3300692
171,0.139710933,3.368032455,156.9919693,4.905999042,47.488,-123.193,3.014559546
172,0.139368176,3.381038427,96.9246791,3.028896222,47.516,-123.037,2.518705908
173,0.137915283,3.337068319,7.480224921,0.233757029,47.543,-122.882,8.454881026
174,0.140602037,3.39474225,227.2472719,7.101477246,47.57,-122.726,2.998542215
175,0.140999988,3.422717094,11.15884852,0.348714016,47.597,-122.57,2.189824705
176,0.14200002,3.459000349,8.231903833,0.257246995,47.624,-122.414,2.906695794
177,0.135000035,3.298000097,9.123839209,0.285119975,47.651,-122.257,2.973678587
178,0.129414603,3.196959972,187.3319115,5.854122235,47.678,-122.101,2.345775383
179,0.127343848,3.160193205,856.3012453,26.75941392,47.704,-121.944,3.406513451
180,0.126978159,3.110360146,274.8099023,8.587809448,47.731,-121.787,8.360157527
181,0.172792017,4.022060871,27.48355313,0.858861035,48.035,-119.895,6.985594264
182,0.173761606,4.03500843,727.0232203,22.71947563,48.059,-119.736,6.659193114
183,0.175591156,4.034047604,418.2019242,13.06881013,48.083,-119.578,7.434275819
184,0.175368845,4.013401985,123.5243514,3.86013598,48.107,-119.419,5.533662777
185,0.173603714,3.99427104,696.0779297,21.7524353,48.131,-119.26,20.70148204
186,0.171677977,3.960822582,50.28019629,1.571256134,48.154,-119.101,6.194233351
187,0.172211826,3.966396809,343.3132793,10.72853998,48.178,-118.941,16.92991566
188,0.15781565,3.790099382,35.77853057,1.11807908,48.293,-118.143,1.878101288
