sc_gid,capacity_factor,global_horizontal_irradiance,capacity_mw,area_sq_km,latitude,longitude,distance_to_transmission_km
238,0.176523522,4.042062759,1776.416948,55.51302964,48.178,-119.618,71.77202936
239,0.176749021,4.031157017,2515.027978,78.59462432,48.202,-119.459,74.22136875
240,0.171728045,3.95772624,1158.801188,36.21253711,48.226,-119.3,77.36286247
241,0.171805546,3.930145741,834.5090813,26.07840879,48.249,-119.14,81.05439568
242,0.165561751,3.865936041,482.813884,15.08793387,48.273,-118.981,78.66269192
243,0.166008741,3.876140356,178.989133,5.593410406,48.296,-118.821,58.33422799
244,0.158308715,3.760202169,364.1676469,11.38023896,48.366,-118.341,67.4465168
245,0.15900594,3.786774397,466.5064641,14.578327,48.388,-118.181,66.51933114
246,0.16005449,3.786835909,440.9429906,13.77946846,48.411,-118.021,66.5512998
247,0.156510755,3.741525888,474.0886336,14.8152698,48.433,-117.86,67.38738017
248,0.155839443,3.720511198,245.0370234,7.657406982,48.456,-117.7,19.08071485
249,0.156000003,3.690999746,1.267199986,0.0396,48.478,-117.539,6.191969668
250,0.148987383,3.579303265,57.17318555,1.786662048,48.5,-117.378,14.43093138
251,0.149755195,3.604321241,63.40464053,1.981395016,48.522,-117.217,17.52043411
252,0.153829247,3.670716047,849.2252625,26.53828945,48.628,-116.411,89.59280577
253,0.155488148,3.705653906,903.4122375,28.23163242,48.649,-116.249,92.97112954
254,0.15079011,3.593962669,598.4234437,18.70073262,48.67,-116.087,96.85028049
255,0.148999989,3.549889803,8.829792993,0.275931031,48.69,-115.925,6.67896043
256,0.159579828,3.730859518,25.33420942,0.791694044,48.77,-115.277,6.369990411
257,0.157999188,3.698660135,28.45987207,0.889371002,48.79,-115.114,2.066006364
258,0.147604957,3.516522646,1414.071169,44.18972402,48.81,-114.951,133.3300692
259,0.169,3.820524693,26.8810563,0.840033009,48.96,-113.646,14.70679315
260,0.169277877,3.819787979,1343.091122,41.97159756,48.978,-113.483,148.7700535
261,0.167949587,3.775888443,1080.846788,33.77646211,48.996,-113.319,151.2965955
262,0.167825669,3.775242567,708.6069844,22.14396826,49.014,-113.155,154.1752213
263,0.169361576,3.796315193,226.1476969,7.067115527,49.031,-112.991,43.30501212
264,0.140030846,3.373234034,531.5137734,16.60980542,47.488,-123.193,12.07947542
265,0.139250115,3.407565594,995.0051391,31.0939106,47.516,-123.037,36.37995784
266,0.13824366,3.383327484,2358.632925,73.70727891,47.543,-122.882,28.13473514
267,0.140275791,3.389197826,844.4868891,26.39021528,47.57,-122.726,20.50554139
268,0.140960485,3.421900034,49.30934326,1.540916977,47.597,-122.57,2.189824705
269,0.142000005,3.459000111,9.583776233,0.299493007,47.624,-122.414,2.906695794
270,0.136212349,3.323274136,28.72367974,0.897614992,47.651,-122.257,2.973678587
271,0.12926428,3.194227219,416.6084074,13.01901273,47.678,-122.101,2.345775383
272,0.127288014,3.157872438,1790.280352,55.94626099,47.704,-121.944,17.95995178
273,0.12737079,3.117724657,1105.841109,34.55753467,47.731,-121.787,28.00004524
274,0.130609676,3.139399767,19.96444929,0.62388904,47.757,-121.63,8.333043565
275,0.12622796,3.108559132,6.190848193,0.193464006,47.783,-121.473,11.85260383
276,0.180999979,4.137000084,5.270400165,0.164700005,47.985,-120.212,0.455244931
277,0.175360948,4.06114769,747.3239719,23.35387412,48.035,-119.895,11.98320544
278,0.174697891,4.048125744,1366.084744,42.69014824,48.059,-119.736,62.53783434
279,0.175829738,4.031157494,1561.759481,48.80498379,48.083,-119.578,7.434275819
280,0.175279081,4.011800289,2007.427556,62.73211113,48.107,-119.419,67.14479808
281,0.173661157,3.994381905,1377.873534,43.05854795,48.131,-119.26,70.60574259
282,0.171973974,3.95216012,633.5452969,19.79829053,48.154,-119.101,74.6295684
283,0.171200827,3.935550213,2084.863303,65.15197822,48.178,-118.941,72.29097793
284,0.1686676,3.876729965,1008.919294,31.52872793,48.201,-118.782,68.11424665
285,0.165592015,3.835695744,45.4976644,1.421802013,48.225,-118.622,18.06288116
286,0.161702648,3.796856403,69.2864666,2.165202081,48.248,-118.463,25.62890641
287,0.160479262,3.799594879,846.4613906,26.45191846,48.27,-118.303,59.86377037
288,0.159922361,3.822203398,552.5660531,17.26768916,48.293,-118.143,58.89443715
289,0.160672903,3.797756672,380.6193797,11.89435562,48.316,-117.983,7.014023499
290,0.156955257,3.745970249,345.6884461,10.80276394,48.338,-117.823,59.88072083
291,0.15552552,3.719250917,140.6246379,4.394519934,48.36,-117.662,0.935254483
292,0.151763573,3.633978844,359.1400148,11.22312546,48.404,-117.341,68.0990412
293,0.150985271,3.598376751,262.8100846,8.212815143,48.512,-116.537,57.45759033
294,0.153125778,3.646042824,705.7108547,22.05346421,48.532,-116.375,82.63090444
295,0.159999996,3.754999638,0.662400069,0.020700002,48.553,-116.214,8.602792172
296,0.151000023,3.590000153,5.01465542,0.156707982,48.574,-116.053,3.380083855
297,0.149044037,3.543968201,35.1397459,1.098117059,48.594,-115.891,4.02911729
298,0.160151139,3.729578495,69.21590801,2.162997125,48.694,-115.081,6.328261412
299,0.150920451,3.575589657,854.4789984,26.7024687,48.714,-114.919,128.7673982
300,0.1497107,3.516826391,42.85267031,1.339145947,48.733,-114.756,5.073169965
301,0.147291034,3.466418982,35.82864141,1.119645044,48.752,-114.593,12.68368752
302,0.169888467,3.844936848,15.49440022,0.484200007,48.864,-113.616,10.298551
303,0.170194447,3.831104755,2063.923284,64.49760264,48.882,-113.452,141.5264839
304,0.170209542,3.805160761,2958.563475,92.45510859,48.9,-113.289,144.1775436
305,0.168689013,3.785588741,2832.923869,88.5288709,48.917,-113.125,147.1237079
306,0.169726774,3.807784319,3575.249634,111.7265511,48.935,-112.962,150.4759236
307,0.169956565,3.817345858,2849.959434,89.06123232,48.952,-112.798,154.08515
308,0.169974968,3.81837678,2151.739181,67.24184941,48.969,-112.634,157.9939828
309,0.169034153,3.801593542,1531.907944,47.87212324,48.986,-112.47,162.1801301
310,0.170150593,3.822461128,865.543725,27.04824141,49.003,-112.306,166.6225288
311,0.169344246,3.816018105,312.0209227,9.750653833,49.02,-112.142,3.51837718
312,0.169023931,3.812366724,27.9250585,0.872658078,49.036,-111.978,5.190756541
313,0.152999997,3.583642721,13.25750394,0.414296998,47.4,-68.317,3.513949777
314,0.152095824,3.576670647,30.94819365,0.967131052,47.372,-68.162,6.652205085
315,0.135043904,3.271366358,68.23526221,2.132351944,47.339,-123.457,13.01842821
316,0.141642436,3.440569401,453.6454992,14.17642185,47.367,-123.302,5.587976377
317,0.14209035,3.454996347,1160.37765,36.26180156,47.394,-123.147,2.028901429
318,0.141025126,3.446128368,1682.507573,52.57836167,47.422,-122.992,32.22132792
319,0.137539029,3.360377312,2167.676438,67.73988867,47.449,-122.836,29.53296905
320,0.137774482,3.352125406,2375.753794,74.24230605,47.477,-122.681,23.34802438
321,0.140885934,3.420938015,677.1410156,21.16065674,47.504,-122.525,10.47194174
322,0.136000007,3.326999903,0.144000007,0.0045,47.557,-122.213,0.845404242
323,0.12983042,3.20808506,194.3495965,6.07342489,47.584,-122.057,2.75506485
324,0.127090469,3.152212381,1647.921333,51.49754165,47.61,-121.9,9.184666785
325,0.126429796,3.101017952,1018.394269,31.8248209,47.637,-121.744,12.79266388
326,0.128575817,3.116330624,133.0041674,4.156380231,47.663,-121.587,9.664637397
327,0.133951157,3.267332315,10.6122241,0.331632003,47.689,-121.43,16.61401582
328,0.169788137,4.00358963,73.22313779,2.288223056,47.816,-120.644,21.31733785
329,0.176689073,4.08672142,194.6868539,6.083964185,47.891,-120.171,25.40227043
330,0.181117907,4.15314579,600.4350281,18.76359463,47.915,-120.012,7.329440211
331,0.17877546,4.116189957,1174.743,36.71071875,47.94,-119.854,10.15468305
332,0.17762433,4.087964535,1930.005605,60.31267515,47.964,-119.696,2.740702752
333,0.17715162,4.051817417,2437.624631,76.17576973,47.988,-119.537,4.891631565
334,0.17663376,4.037024975,3108.043913,97.12637227,48.012,-119.379,60.21387453
335,0.176411957,4.033412933,3026.137725,94.56680391,48.036,-119.22,64.05504706
336,0.175504863,4.018741131,2069.111208,64.65972524,48.06,-119.061,68.55079784
